did,diagnose,pid
"751","Tendonitis: tendon inflammation","RICE (Rest, Ice, Compression, Elevation), Acetaminophen (Tylenol), Anti-inflammatory drugs(like aspirin (Bayer), ibuprofen (Advil, Motrin), and naproxen (Aleve, Naprosyn)), Compression bandage, Exercises, Splints/Braces/Cane, Surgery to remove inflammatory tissue, Physical therapy, Corticosteroid injections."
"752","Tenosynovitis: tendon sheath inflammation","Rest and Ice packs, Stretching and Physical Therapy, Splint, Nonsteroidal anti-inflammatory drug and Steroid."
"753","Tension pneumothorax: dangerous lung collapse","Oxygen therapy and Monitoring for changes or improvement, Chest tube."
"754","Testicular cancer: tumor","Inguinal orchiectomy and Retroperitoneal lymph node dissection, Chemotherapy and Hormone, Radiation therapy."
"755","Testicular torsion: twisting of testicle","Surgically moving the testicle into the scrotum."
"756","Third cranial nerve disorder: disorder of eye movement","Acute stage: Observation, Eye occlusion (preferably alternately), Non-steroid anti-inflammatory drugs, Botulinum toxin injection; Chronic stage: Incorporating prisms(If the deviation is small), Surgery(If the deviation is large enough so that prims won't work)."
"757","Thoracic outlet syndrome: nerve, blood vessel compression","Physical Therapy, Nonsteroidal anti-inflammatory drug."
"758","Thrombocytopenia: low platelet count","Avoiding activities that could cause injury, Limit alcohol intake, Avoid medications such as aspirin and ibuprofen, If steroids intake is not possible: Dexamethasone or prednisone drugs, Intravenous immune globulin, Rituximab(Rituxan)."
"759","Thyroglossal duct cyst: neck cyst","Sistrunk procedure(surgery)."
"760","Thyroiditis: thyroid inflammation","Radioactive iodine therapy, Hormone."
"761","Tick paralysis: toxin from ticks","Remove ticks by using tweezers, Breathing machine until the symptoms of breathing difficulty ceases."
"762","Tick borne encephalitis: brain infection","Antipyretics, Analgesics, Antiemetics, Maintenance of water and electrolyte balance, Anticonvulsive agents(if necessary), Intubation and ventilatory support(if there is respiratory failure)."
"763","Tinea: fungal skin infection","Antifungal drugs."
"764","laceration of toe: cut skin","Clean the wound followed by stiches(if needed), Nonsteroidal anti-inflammatory drug."
"765","Toe swelling","Treatment based on underlying cause. Soak the infected area in warm and soapy water 3 times a day(for mild pain cases), Partial/complete nail plate avulsion(if cause is ingrown toenail), Cast and/or surgery(if cause is a broken toe), Specific treatments if causes are Bunion/Gout/Hallux rigidus."
"766","Tongue cancer: tumor","Chemotherapy, Radiation therapy, Laryngectomy, Neck dissection and Glossectomy."
"767","Tonsillar cancer: tumor tongue","Surgery, Radiation therapy, Chemotherapy."
"768","Tonsillitis: tonsil infection","Tea with honey, Salt water gargle and Throat lozenge, Nonsteroidal anti-inflammatory drug, Analgesic, Penicillin and Antibiotics, Tonsillectomy."
"770","Toothache","Flossing and brushing regularly, (OTC) pain medication, such as aspirin, OTC decongestants like pseudoephedrine(Sudafed)(if pain is due to sinus congestion), Tooth filling(in case of tooth decay), Tooth removal(for severe cases)."
"771","Torticollis, spasmodic: neck muscle spasm","Physical Therapy, Massage and Stretching, Physical exercise, Neurotoxin."
"772","Preeclampsia: toxemia of pregnancy","Labor induction, Dietary supplement, Caesarean section."
"773","Toxic shock syndrome: life-threatening bacterial infection complication","Mechanical ventilation and Fluid replacement, Antibiotics and Penicillin, Removal of unhealthy tissue."
"774","Toxoplasma infection: Toxoplasmosis: parasite infection","Avoiding exposure, Antiparasitic, Chemotherapy protective drugs, Antibiotics and Antifungal."
"775","Transient ischemic attack: TIA, reversible stroke","Anticoagulant and Statin, Cardiac monitoring, Quitting smoking, Carotid endarterectomy."
"776","Transverse myelitis: spinal cord inflammation","Intravenous steroids, Plasma exchange therapy, Antiviral medication, Pain relievers, Corticosteroids and/or Immunosuppressants(to prevent recurrent attacks of transverse myelitis)."
"777","Trauma","Cognitive behavioral therapy, Eye movement desensitization and reprocessing, Somatic therapies, Medications for anxiety/depression/sleep disturbances, Exercise, Mindfulness-based exercises."
"778","Traumatic nerve injury","Treatment based on the extent and cause of the injury and how well the nerve is healing. Rest and regular checkups(if nerve is healing properly), Treat the underlying condition(If injury is caused by a medical condition), Aspirin or Ibuprofen (Advil, Motrin IB, others)(Depending on the type and severity), Surgery, Braces or splints, Electrical stimulator, Physical therapy."
"780","Trichinella spiralis infection: trichinosis, parasitic infection from undercooked pork","Anti-parasitic medication, Pain relievers, Corticosteroids."
"781","Trichomonas vaginalis infection: vaginal infection","Antibiotics."
"782","Trigeminal neuralgia: facial nerve pain","Anticonvulsant, Surgery(for advanced cases)."
"783","Tuberculosis infection: TB","Antibiotics."
"784","Tubo ovarian abscess: pelvic abscess","Antibiotic, Laparoscopy(if antiboitics do not help)."
"785","Ear drum rupture: tympanic membrane rupture","Antibiotics, Cauterization."
"786","Typhoid fever: salmonella typhi infection from contaminated food or water","IV fluids and Oral rehydration therapy, Antibiotics and Penicillin."
"788","Ulcerative colitis: large intestine inflammation","Nonsteroidal anti-inflammatory drug, Antibiotics, Anti-inflammatory, Immunosuppressive drug, Steroid, Analgesic and Dietary supplement, Colostomy, Ileostomy, Colectomy and Proctocolectomy, IV fluids, Enema."
"789","Unstable angina: pre heart attack chest pain","Blood thinner(such as aspirin, heparin, or clopidogrel); Medications to reduce: Blood pressure, Cholesterol levels, Anxiety, Arrhythmia symptoms."
"790","Upper respiratory tract infection: URI, common cold","Rehydration, Nasal washing and Throat lozenge, Cough medicine, Nonsteroidal anti-inflammatory drug, Analgesic and Dietary supplement."
"791","Ureaplasma urealyticum infection: genital infection","Antibiotics(Azithromycin (Zithromax) or Doxycycline (Acticlate, Doryx, Vibra-Tabs)), Fluoroquinolones antibiotic(if previous antibiotics do not help)."
"792","Urethritis: infection of urethra","Antibiotics and Analgesic."
"793","Bladder infection: cystitis, UTI, urinary tract infection","Antibiotics and Penicillin, Urinating after sexual intercourse."
"794","Urinary tract malformation","Treat symptoms such as urinary tract infection and backward flow of urine(for mild cases), Endoscopic Decompression and Partial Nephrectomy(for advanced cases)."
"795","Urine retention: inability to urinate","Acute cases: Catheter to expel urine, Suprapubic catheter(if normal catheter doesn't work); Chronic cases: Catheterization, Urethral dilation and stents, Cystoscope, Antibiotics, Surgery."
"796","Urticaria: hives","Cold compress, Antihistamine, Steroid, Vasoconstrictor and Anti-inflammatory, Desensitization."
"797","Uterine prolapse: uterine vaginal protrusion","Kegel exercises, Losing weight, Treating constipation, Vaginal Pessary, Repair of weakened pelvic floor tissues, Hysterectomy."
"798","Uterine rupture: uterine tear during childbirth","Remove a woman’s uterus followed by blood transfusion(if there is major bloodloss), Focus on delivering the baby as well."
"799","Uveitis: iritis, eye inflammation","Steroid and Immunosuppressive drug."
"800","Vaccination","Treatment of symptoms."
"801","Vaginal atrophy: atrophic vaginitis","Vaginal moisturizers, Water-based lubricants, Vaginal estrogen therapy."
"802","Vaginal cancer: tumor","Surgery: Removal of small tumors or lesions, Vaginectomy(partial or radical as needed), Pelvic exenteration, Radiation therapy."
"803","Vaginal foreign body","Removal may be performed with the forceps or with a warm water irrigation of the vagina, Surgery(in severe cases), Antibiotics after the removal of foreign body."
"805","Vaginitis: vaginal infection inflammation","Antifungal, Antibiotics and Hormone medications."
"807","Varicocele: testicular vein enlargement","Microsurgery."
"808","Blood vessel headache: familial basilar artery migraine headache","Pain relievers such as acetaminophen (Anacin, Panadol, Tylenol), ibuprofen (Advil, Motrin), and naproxen (Aleve, Anaprox, Naprosyn), as well as nausea medicines such as chlorpromazine, metoclopramide (Reglan), and prochlorperazine (Compro)."
"809","Vascular insufficiency due to peripheral artery disease: PAD, claudication, inadequate blood flow","Physical exercise, Quitting smoking and Heart-Healthy diet, Statin, Vasodilator and Anticoagulant, Angioplasty."
"810","Vasculitis: inflammation of the arteries","Steroid, Immunosuppressive drug and Blood transfusion."
"811","Vasovagal syncope: fainting","Avoidance of triggers and IV fluids, Leg muscle tensing, Compression stockings."
"812","Vertebral artery dissection: neck artery tear","Antiplatelet agents(Aspirin or Clopidogrel), Angioplasty."
"813","Vertebral fracture: broken back or neck bone","Physical Therapy, Analgesic, Narcotic and Hormone, Surgery."
"814","Vertebral- basilar artery insufficiency: inadequate blood flow to the back of the brain: vertebro-basilar insufficiency","Quitting smoking(if you smoke), Changing diet to control cholesterol levels, Losing weight(if overweight or obese), Becoming more active."
"815","Vertebral-basilar stroke: stroke in the back of the brain: Vertebro basilar insufficiency","Consult a team of specialists including neurologists."
"816","Vertigo: spinning sensation","Sitting down right away and rising slowly when getting up, Using a cane to improve balance, Vestibular rehabilitation, Treatment for underlying problems."
"817","Vesicovaginal fistula: connection between the bladder and vagina","Drain the pee using a catheter, Seal or fill the distula using a plug/seal made of natural proteins, Antibiotic(if infection present), Laparoscopic/Abdominal surgery(based on type and location of fistula)."
"818","Vestibular neuronitis: labyrinthitis, vertigo","Antibiotics or Antiviral medications."
"819","Vibrio parahaemolyticus infection: bacterial infection from shellfish","Drink plenty of liquids to replace fluids lost due to diarrhea, Anitbiotics(for severe or prolonged illnesses)."
"820","Rattlesnake: pit viper bite","Consult a specialist immediately. Treatments: Cleaning the wound and Tetanus vaccine, Administer Antivenom(if situation is severe)."
"821","Viral hemorrhagic fevers: Ebola, Lassa","Treatment of symptoms, Oxygen therapy, Supportive intensive care and IV fluids, Blood transfusion, Antiviral Drug Ribavirin(should be prescribed early, and beware of side effects)"
"822","Viral infections","Antiviral Medication."
"823","Vitiligo: loss of skin pigment","Photodynamic therapy, Steroid and Immunosuppressive drug"
"824","Vocal cord nodule: growth on the vocal cords","Voice therapy, Treatment of underlying medical problems that affect the voice(such as reflux, allergies, and sinusitis), Surgery(for refractory lesions or in situations where vocal needs are not being met with voice therapy alone)"
"825","Vocal cord paralysis: voice box weakness","Voice therapy, Bulk injection, Structural implants, Vocal cord repositioning, Reinnervation, Tracheotomy."
"826","Volvulus: twisted intestine","Laparotomy, Colostomy, Colectomy, Laparoscopic surgery and Bowel resection."
"827","Vulvar squamous cell carcinoma: skin cancer on female genitalia","Excision, Vulvectomy, Sentinel node biopsy, Radiation therapy, Chemotherapy, Targeted drug therapy and(or) Immunotherapy(for advanced cases), "
"828","Waldenström macroglobulinemia: blood cell disease","Observation, Plasma exchange, Chemotherapy, Targeted therapy, Bone marrow transplant."
"829","Warfarin: Coumadin, Jantoven overdose","Full evaluation including Measurement of PT/INR and PTT. Monitoring INR levels, Activated Charcoal(for awake, alert patients), (4-factor Prothrombin Complex Concentrate/3-factor PCC and Fresh frozen plasma) with Intravenous Vitamin K10mg(for severe cases showing excessive bleeding)."
"830","Warfarin: Coumadin use","Full evaluation including Measurement of PT/INR and PTT. Monitoring INR levels, Activated Charcoal(for awake, alert patients), (4-factor Prothrombin Complex Concentrate/3-factor PCC and Fresh frozen plasma) with Intravenous Vitamin K10mg(for severe cases showing excessive bleeding)."
"832","Wegener's granulomatosis: granulomatosis with polyangiitis,  blood vessel disease","Steroid, Immunosuppressive drug, Antibiotics, Chemotherapy and Blood transfusion, IV fluids, Hemodialysis."
"833","West Nile virus infection: mosquito-transmitted illness","Over-the-counter pain relievers(for mild cases), Intravenous fluids and pain medication(for severe cases)."
"834","Whiplash injury: neck injury","Ice packs and Physical exercise, Analgesic, Nonsteroidal anti-inflammatory drug, Muscle relaxant and Narcotic, Chiropractic treatment techniques, Stretching, Physical Therapy and Massage."
"835","White coat hypertension: elevated blood pressure at doctor's office","Relaxation techniques, Treating high blood pressure after taking multiple readings."
"836","Whooping cough: pertussis","Antibiotics, Monitoring for changes or improvement."
"837","Windshield wiper fluid: Methanol poisoning","Fomepizole (Antizole, 4-Methylpyrazole or 4MP), Ethanol, Dialysis and theoretically, Folate."
"838","Wolff Parkinson White syndrome: WPW, additional electrical pathway in the heart","Catheter ablation, Antiarrhythmic."
"841","Yellow fever: viral hemorrhagic fever","Oral rehydration therapy."
"842","Zenker's diverticulum: pharyngeal pouch, weakening of the esophageal wall","External neck incision with Diverticulotomy, With or without pouch intervention(Diverticulopexy), Endoscopy(diverticulotomy)."
"848","Seizure: abnormal brain electrical activity","Anti-seizure medications, Dietary therapy, Lobectomy, Multiple subpial transection, Corpus callosotomy, Hemispherectomy, Vagus nerve stimulation, Responsive neurostimulation."
"849","Pilonidal cyst: fluid filled sac on tailbone","Incision and drainage and Removal of unhealthy tissue, Surgically turning a cavity into a pouch."
"851","Essential tremor: abnormal rhythmic shaking","Monitoring for changes or improvement, Beta blocker and Anticonvulsant."
"852","Lymphoma: lymph node cancer","Chemotherapy, Bone marrow stimulant, Steroid and Blood transfusion, Autotransplantation."
"853","Osgood Schlatter disease: painful shinbone inflammation","Can be self-healing, Physical Therapy and Stretching, RICE (Rest, Ice, Compression, Elevation), Nonsteroidal anti-inflammatory drug and Analgesic."
"854","Nasal foreign body: unnatural object in the nose","Removing the object(large in size) with tweezers, Stop the person from sniffing, Anesthetic and anti-nosebleed drugs before removal procedure in a hospital."
"855","Respiratory syncytial virus: RSV, pediatric respiratory infection","over-the-counter medication such as acetaminophen (Tylenol, others)(to reduce fever), Use of nasal saline drops and suctioning(to clear a stuffy nose), Antibiotics(if a bacterial complication present), Intravenous (IV) fluids, Humidified oxygen, Ventilator (in rare cases)."
"856","Hodgkin's disease: cancer of the lymph system","Chemotherapy, Radiation therapy, Stem-cell transplant(rare cases)."
"857","Autism spectrum disorder: ASD","Behavior and communication therapies, Educational therapies, Family therapies, Medications to treat specific symptoms."
"858","Polymyalgia rheumatica: PMR, muscle and joint disorder","Low dose of Corticosteroid(prednisone)."
"859","Swine Flu: H1N1 Influenza","Menthol oil and Rest, Antiviral drug, Cough medicine, Decongestant, Analgesic and Nonsteroidal anti-inflammatory drug, Fluid replacement."
"860","Fifth disease: erythema infectiosum, viral illness","Analgesic and Nonsteroidal anti-inflammatory drug, Monitoring for changes or improvement."
"861","Sagittal sinus thrombosis: venous blood clot in the brain","Adminsitring Fluids, Antibiotics, if an infection is present, Antiseizure medicine to control seizures if they have occurred, Monitoring and controlling the pressure inside the head, Medicine called anticoagulants to stop the blood from clotting, Surgery, Continued monitoring of brain activity, Measuring visual acuity and monitoring change, Rehabilitation."
"862","Cervical spine stenosis: narrowing of spinal canal","Pain relievers, Antidepressants, Anti-seizure drugs, Opioids, Physical therapy, Steroid injections, Decompression procedure, Laminectomy, Laminotomy, Laminoplasty, Minimally invasive surgery."
"863","Cervical myelopathy: spinal cord compression","Anti-inflammatory medication and physical therapy, Surgery(Both forms of treatments have almost similar results)."
"864","Spinal cord tumor","Monitoring, Surgery, Radiation therapy, Chemotherapy."
"865","Brachial plexus injury: shoulder nerve injury","Physical therapy, Neurolysis, Nerve graft, Nerve transfer, Muscle transfer."
"866","Brain arteriovenous malformation: blood vessel abnormality in the brain, AVM: Arteriovenous malformation of brain","Monitoring for changes or improvement, Embolization and Radiation therapy."
"867","Carotid artery stenosis: neck artery narrowing","Quitting smoking, Losing weight, Eating healthy foods, Reducing salt and Exercising regularly(to slow the progression of condition), Aspirin or other blood-thinning medication(to prevent blood clots), Carotid endarterectomy, Carotid angioplasty and stenting(for severe cases)."
"868","Meningioma: brain tumor","Monitoring, Craniotomy and Microsurgery, Radiation therapy."
"869","Astrocytoma: brain tumor","Surgery, Radiation, Chemotherapy, Targeted therapy, Electric-field therapy."
"870","Hydrocephalus: brain fluid build-up","Diuretic, Ventriculoperitoneal shunt, Ventriculostomy."
"872","Central cord syndrome: traumatic spine injury","Monitoring with Immobilization of the neck with a rigid cervical collar and Rehabilitation with Physical and Occupational therapy."
"873","Cerebral aneurysm: brain artery dilation","Monitoring for changes or improvement, Antihypertensive drug and Anticoagulant, Embolization, Endovascular coiling and Clipping, Endovascular aneurysm repair."
"874","Pseudotumor cerebri: increased pressure in the skull","Diuretic medication, Weight loss."
"875","HIV AIDS: Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome: Human immunodeficiency virus [HIV] disease","No cure for AIDS. No cure exists for AIDS, but strict adherence to antiretroviral regimens (ARVs) can dramatically slow the disease's progress, HIV antiviral."
"876","Endocarditis: heart valve infection","Antibiotics and Penicillin, Valve replacement."
"877","Acne: pimples","Anti-inflammatory, Vitamin A derivative, Antibiotics and Topical antiseptic, Benzoyl peroxide / Salicylic acid and Antibacterial soap."
"878","Attention deficit hyperactivity disorder: ADHD","Support group, Cognitive behavioral therapy, Anger management, Counseling psychology, Psychoeducation, Family therapy and Applied behavior analysis, Stimulant, Cognition-enhancing medication and Antihypertensive drug."
"879","Allergic conjunctivitis: allergic reaction in the eye","Antihistamine and Eye decongestant, Artificial tears, Cold compress and Stop contact lens use."
"881","Teeth grinding: bruxism","Relieve stress, Practising good sleep habits, Avoiding caffeine in the evening, Splints and mouth guards, Dental correction(in severe cases)."
"882","Chemical burn","Perform First aid, IV fluids, Decontamination, Antidote to counteract the chemical(if appropriate), Breathing tube(for difficulty in breathing), Tetanus booster(if needed), Skin grafting(for severe cases), Cosmetic or reconstructive surgery(to deal with scarring), Physical and occupational therapy."
"883","Chicken pox: varicella virus","Analgesic and Antihistamine medications, Oatmeal bath and Moisturizer."
"884","Cradle cap: infant scalp rash","Moisturizer, Mineral oil and Baby shampoo."
"885","Croup: upper airway inflammation","Steroid drugs, Analgesic drugs, Nonsteroidal anti-inflammatory drug, Vasoconstrictor and Cough medicine, Oxygen therapy, Can be self-healing and Airway management."
"887","Dyslexia: reading disorder","Individualized educational interventions, Rehabilitation, Occupational Therapy and Counseling psychology."
"890","Psoriasis: scaly skin disease","Photodynamic therapy, Steroid, Vitamin A derivative, Anti-inflammatory, Immunosuppressive drug and Vitamin, Stress management, Petroleum jelly, Light therapy, Ultraviolet light therapy, Moisturizer and Coal tar extract."
"891","Asperger's syndrome: autism spectrum disorder","Support group, Biofeedback, Cognitive behavioral therapy, Anger management, Psychoeducation, Family therapy, Applied behavior analysis, Sensory processing and Group psychotherapy, Stress management."
"892","Methicillin-resistant Staphylococcus aureus: MRSA, type of bacteria","Antibiotics(clindamycin, trimethoprim/sulfamethoxazole (TMP/SMX; Bactrim, Septra), a tetracycline (doxycycline or minocycline [Minocin]), and linezolid (Zyvox)) and(or) Surgery to drain large boils."
"893","Staphylococcus aureus: type of bacteria","Antibiotics, Sometimes surgical removal of infected bone and(or) foreign material."
"894","Failure to thrive - child: Failure to thrive-child: Failure to thrive (child)","Treatment based on underlying cause, Nutritional supplements or a special diet based on the underlying diagnosis."
"895","Hemochromatosis: excess iron disorder","Bloodletting."
"896","Impetigo: bacterial skin infection","Penicillin and Antibiotics."
"897","Inhaled foreign body: in respiratory tract","Bronchoscopy."
"898","Jaundice: yellow skin color","Iron supplements or eating more iron-rich foods(for Anemia-induced jaundice), Antiviral or steroid medications(for Hepatitis-induced jaundice), Surgery(for obstruction-induced jaundice)."
"899","Keratosis pilaris: common skin condition","Monitoring for changes or improvement, Moisturizer, Steroid and Anti-inflammatory medications."
"900","Head lice","Over-the-Counter medications that kills lice like Permethrin lotions(RID, Nix, and A-200), Malathion (Ovide), Ivermectin (Stromectol)."
"901","Body lice","Improved personal hygiene and regular changes of Clean and Washed clothing, Pediculicides(if necessary)."
"902","Pubic lice","Topical, over-the-counter lotions and shampoos, Permethrin lotions(RID, Nix, and A-200), Malathion (Ovide), Ivermectin (Stromectol)(for persistent cases)."
"903","Wilsons disease: copper accumulation in tissues","Heavy metal toxicity medication and Dietary supplement, Liver transplantation."
"904","Rocky mountain spotted fever: bacterial infection spread by ticks","Antibiotics."
"905","Erysipelas: bacterial skin infection","Keeping the infected area elevated, Cooling packs placed on the skin, Lotions to stop the skin getting dry and cracking, Anti-inflammatory painkillers, Antibiotics(Penicillin(if not allergic) or erythromycin or cephalexin)."
"906","Cat scratch fever: bacterial infection after cat scratch","Antibiotics."
"907","Coccidiomycosis: valley fever, fungal infection","Antifungal medications, Monitoring for changes or improvement."
"908","Meconium aspiration: newborn respiratory problem","Immediate treatment to remove meconium, suction the fluid containing meconium from the windpipe using a tube(if baby isn't breathing or responding well), use a bag and mask to help them breathe(for severe breathing issues), Post treatment: Oxygen therapy, Radiant warmer, Antibiotics such as ampicillin and gentamicin, Ventilator, Extracorporeal membrane oxygenation (ECMO)(if other ways dont work)."
"909","Neurofibromatosis: inherited nerve tumors","Support group and Genetic counseling, Cochlear implant, Laminectomy and Spinal fusion."
"910","Night terrors: nightmares","Establishing a regular sleep routine, Finding ways to relieve stress, Biofeedback, Hypnosis, Cognitive behavioral therapy, Treating underlying cause( stress, trauma, anxiety, depression, or other mental health concerns)."
"911","Pinworms: common intestinal worm","Over-the-counter pyrantel pamoate(Mebendazole, Albendazole (Albenza))."
"912","Reyes syndrome: rare liver and brain swelling","Monitoring in the intensive care unit, Mechanical ventilation, Intracranial pressure monitoring and IV fluids, Diuretic and Vitamin."
"913","Mongolian spots: blue birthmark","Laser removal(if they persists in adulthood, and person finds them bothersome)."
"914","Rheumatic fever: complication of strep infection","Bed rest, Antibiotics, Penicillin and Nonsteroidal anti-inflammatory drug."
"915","Rhinitis: nasal inflammation","Avoid allergen and Nasal washing, Steroid, Antihistamine, Decongestant, Eye decongestant, Bronchodilator and Anti-inflammatory, Desensitization."
"916","Ringworm of the scalp: tinea capitis","Prescription-strength oral antifungal medications, Keeping the skin dry, Washing bedding regularly, Replacing or disinfecting hair tools."
"917","Ringworm of the body: tinea corporis","Over-the-counter (OTC) topical fungicidal medications, Stronger topical medication or a fungicidal taken orally(for advanced cases)."
"918","Rubella: German measles","Can be self-healing, Analgesic."
"920","Scabies: skin disease caused by mites","Antiparasitic, Hot water laundry and Dry cleaning."
"921","Atrial flutter: irregular heart rate","Beta blocker, Calcium channel blocker, Anticoagulant and Antiarrhythmic, Cardioversion and Catheter ablation."
"922","Pepto Bismol or Kaopectate ingestion: bismuth","Discontinue usage and consult specialist."
"923","Long QT Syndrome: inherited heart condition","Cardiac monitoring, Antiarrhythmic, Beta blocker, Dietary supplement and Blood pressure support, Avoid strenuous exercise, Pacemaker and Implantable cardioverter defibrillator."
"924","Coronary artery anomaly: heart artery malformation","Medications: To strengthen the heart, affect the blood pressure, and(or) remove extra fluid from the body (water pills); Oxygen therapy, Activity limitations, Surgery."
"925","Stroke: CVA, cerebrovascular accident","Alteplase, Anticoagulant, Statin, Antihypertensive drug and ACE inhibitor, Cardiac monitoring, Carotid endarterectomy, Speech therapy, Rehabilitation, Occupational Therapy, Physical Therapy and Stroke rehabilitation."
"926","Subconjunctival hemorrhage: blood covering white part of the eye","Monitoring for changes or improvement, Treating underlying causes."
"927","Sleep apnea: chronic sleep disruption","Physical exercise and Weight loss, Continuous positive airway pressure (CPAP) and Airway management, Tonsillectomy, Adenoid removal and Palatoplasty."
"929","Myotonia: impaired muscle relaxation","Medicine and exercises to ease tight muscles(like sodium channel blocking drugs, muscle relaxants, antiseizure drugs). "
"930","Carbuncle","Warm compress, Incision and drainage."
"931","Melanoma: skin cancer","Radiation therapy and Mohs surgery, Skin grafting and Wide local excision, Antiviral drug, Chemotherapy and Immunotherapy."
"932","Cat bite","Wound irrigation and Wound dressing, Penicillin."
"933","Dog bite","Wound irrigation and Wound dressing, Penicillin."
"934","Muscle spasm: charley horse","Stretching and gently massaging the area, Icing the area, Applying heat from a warm towel/heating pad/hot water in the shower, Antispasmodic medicine(if cause is a neurological condition)."
"935","Hyperosmolar hyperglycemic state: severely elevated glucose level","Give fluids intravenously(to treat dehydration), Give Insulin intravenously(to lower blood sugar levels), Potassium and sometimes sodium phosphate replacement(to help your cells function correctly)."
"937","Tetanus: lockjaw","Antibiotics, Penicillin, Sedative and Dietary supplement, Mechanical ventilation, Tracheotomy and Removal of unhealthy tissue."
"938","Tourette syndrome: repetitive involuntary movements, vocalizations","Relaxation techniques, Cognitive behavioral therapy and Exposure and response prevention, Antipsychotic."
"939","Umbilical hernia: belly button hernia","Monitoring for changes or improvement, Hernia repair."
"940","Common warts","Can be self-healing, Cauterization, Freezing and Tissue scraping, Anti-inflammatory, Topical anti-tumor medication and Chemotherapy, Electrosurgery and Laser surgery."
"941","Transient global amnesia: sudden period of short-term memory loss","No treatment is needed for transient global amnesia. It resolves on its own and has no known lasting effects. Consult a doctor if situation worsens."
"943","Osteoporosis: extremely thin bone","Healthy diet and Physical exercise, Vitamin, Dietary supplement, Antacid, Bone health and Hormone."
"944","Bird flu: avian influenza","Antiviral drug."
"946","Cubital tunnel syndrome: nerve compression in the elbow","Physical therapies like wearing protective elbow pad, wearing a splint(for mild cases), Surgery to release pressure on the ulnar nerve."
"947","Foot fracture: broken foot","Over-the-counter pain reliever, Physical therapy(post bone healing), Reduction, Immobilization, Surgery."
"948","Ankle fracture: broken ankle","Over-the-counter pain reliever, Physical therapy(post bone healing), Reduction, Immobilization, Surgery."
"949","Histoplasmosis: fungal infection","Antifungal drugs(for severe or chronic cases)."
"950","Tick bite","Remove the tick, Treat diseases promptly(if disease arises from bite)."
"951","Q fever: flu-like bacterial illness","Rehydration, Antibiotics."
"952","Broken heart syndrome: Takotsubo cardiomyopathy","Treatment is similar to a heart attack(Defibrillation and Oxygen therapy, Anticoagulant, Antianginal, Narcotic, Beta blocker, Statin and ACE inhibitor); Angiotensin-converting enzyme (ACE) inhibitors, angiotensin II receptor blockers, beta blockers or diuretics(after diagonosis is certain)."
"953","Whipple's disease: rare bacterial infection of the small intestine","Carefully chosen Antibiotics(select those that wipe out infections in the small intestine and also cross a layer of tissue around your brain (the blood-brain barrier))."
"954","Near drowning","Defibrillation, Tracheal intubation, Mechanical ventilation, Targeted temperature management, Cardiopulmonary resuscitation (CPR), Airway management."
"955","Clostridium difficile: C. Diff","Antibiotics, Faecal transplant or surgery(for rare cases)."
"956","Sea lice bite","rubbing alcohol and meat tenderizer(home remedies), Antihistamine pill or steroid cream, Steroid pill or shot(severe cases)."
"958","Ascites: fluid in the abdomen","Resting and limiting salt intake to less than 2,000 milligrammes a day, Avoid alcohol, Avoid Paracetamol and nonsteroidal anti-inflammatory drugs, Surgical resection of the cancer and chemotherapy(malignant ascites)."
"960","Sunburn","Nonsteroidal anti-inflammatory drug and Analgesic, Ice packs, Aloe, Sunblock, Moisturizer and Sun protective clothing."
"961","Sun poisoning","Intravenous (IV) fluids for dehydration, steroid creams for painful blistering sunburns, Oral steroids for pain and swelling, Prescription pain medications if OTC versions aren’t providing relief, Topical antibiotics to prevent infection."
"962","Cystic fibrosis: inherited disease of lungs, digestive system","Oral Sodium chloride solution, Dietary supplement, Antibiotics, Penicillin and Cough medicine, Postural drainage."
"963","Sever's disease: calcaneal apophysitis, common cause of heel pain","Rest, Ice packs or nonsteroidal anti-inflammatory drugs (NSAIDs), Supportive shoes, Stretching and strengthening exercises"
"964","Panhypopituitarism: pituitary gland malfunction","Hormone replacement. Treatment of the unerlying conditions(for some cases result in complete recovery)."
"965","Down syndrome: common genetic disorder","Physical exercise and Special education, Support group, Speech therapy, Occupational Therapy and Physical Therapy, Glasses."
"966","Hair loss: alopecia","Steroid, Vasodilator, Anti-inflammatory and Immunosuppressive drug, PUVA and Stress management."
"967","Vaginal yeast: fungal infection","Antifungal and Dietary supplement."
"968","Rickets: childhood bone disease","Vitamin and Dietary supplement, Surgery(rare cases)."
"969","Alzheimer's disease: dementia","Rehabilitation and Occupational Therapy, Cognition-enhancing medication."
"971","Human papillomavirus infection: HPV","No cure for virus, can remove warts caused by HPV. Loop electrosurgical excision procedure, Freezing and Cervical conization, Topical anti-tumor medication, Electrosurgery."
"972","Erectile dysfunction: ED","Vasodilator and Hormone, Quitting smoking and Physical exercise."
"973","Congenital heart disease: heart defect at birth",""
"974","Lumbar spinal stenosis: spinal cord compression","Physical Therapy, Nonsteroidal anti-inflammatory drug and Nerve pain medication, Physical exercise."
"975","Stomach cancer: gastric cancer","Radiation therapy, Chemotherapy and Chemotherapy protective drugs, Gastrectomy and Gastroenterostomy, Palliative care."
"977","Moles: nevi","Biopsy by shaving or cutting out the entire spot, Cut out the entire mole or scar from the biopsy site(if mole is found to be cancerous)."
